1777715176.0563872,192.168.29.76,78
1777715176.284932,54.221.64.218,66
1777715176.3259037,192.168.29.76,571
1777715176.5005512,54.221.64.218,54
1777715176.5253897,54.221.64.218,1514
1777715176.5512297,54.221.64.218,1514
1777715176.5810938,54.221.64.218,1514
1777715176.6034703,54.221.64.218,553
1777715176.659571,192.168.29.76,118
1777715176.6826408,192.168.29.76,692
1777715176.715203,192.168.29.76,924
1777715176.7428713,54.221.64.218,54
1777715176.7685733,54.221.64.218,233
1777715176.8012042,54.221.64.218,54
1777715176.8251255,54.221.64.218,257
1777715179.2532635,192.168.29.8,66
1777715180.2463975,192.168.29.8,66
1777715184.8731897,20.190.145.160,66
1777715185.0019898,192.168.29.76,518
1777715185.065001,20.190.145.160,1514
1777715185.0949125,20.190.145.160,1514
1777715185.1220107,20.190.145.160,1088
1777715185.1624234,192.168.29.76,212
1777715185.181939,20.190.145.160,105
1777715185.202248,192.168.29.76,346
1777715185.2196808,192.168.29.76,1494
1777715185.2396128,192.168.29.76,1494
1777715185.25598,192.168.29.76,1494
1777715185.2796097,192.168.29.76,1494
1777715185.3021195,192.168.29.76,207
1777715185.3216908,20.190.145.160,54
1777715185.3445916,20.190.145.160,54
1777715185.3630087,20.190.145.160,1514
1777715185.3826773,20.190.145.160,2974
1777715185.3994863,20.190.145.160,1514
1777715185.4227934,20.190.145.160,1027
1777715194.7291977,20.189.173.7,66
1777715194.7704413,192.168.29.76,520
1777715194.9774864,20.189.173.7,2974
1777715195.0277526,20.189.173.7,2974
1777715195.0472758,20.189.173.7,469
1777715195.1394594,192.168.29.76,965
1777715195.2598145,20.189.173.7,54
1777715195.2778444,20.189.173.7,157
1777715195.308102,20.189.173.7,500
1777715196.2552137,13.107.5.93,66
1777715196.2961862,192.168.29.76,527
1777715196.3201103,13.107.5.93,54
1777715196.3469172,13.107.5.93,1514
1777715196.3873718,13.107.5.93,1514
1777715196.448602,13.107.5.93,1514
1777715196.490485,13.107.5.93,1514
1777715196.5156057,13.107.5.93,256
1777715196.6183133,13.107.5.93,54
1777715196.641716,13.107.5.93,513
1777715196.662722,13.107.5.93,116
1777715196.6756022,13.107.5.93,54
1777715196.7381794,13.107.5.93,85
1777715196.7774403,13.107.5.93,54
1777715196.8028662,13.107.5.93,1368
1777715196.8476708,13.107.5.93,1109
1777715196.868721,13.107.5.93,1109
1777715196.8909304,13.107.5.93,1109
1777715196.9117072,13.107.5.93,1109
1777715196.9302204,13.107.5.93,1109
1777715196.9513838,13.107.5.93,1109
1777715196.9852643,13.107.5.93,1109
1777715197.0070112,13.107.5.93,1109
1777715197.0311208,13.107.5.93,521
1777715197.0545537,13.107.5.93,85
1777715197.263763,192.168.29.76,1090
1777715197.5303102,20.189.173.7,54
1777715197.7741911,20.189.173.7,500
1777715198.9037228,192.168.29.76,1494
1777715198.9238017,192.168.29.76,1494
1777715198.9437215,192.168.29.76,1494
1777715198.960233,192.168.29.76,1494
1777715198.9762087,192.168.29.76,780
1777715198.9960103,20.190.145.160,54
1777715199.0091357,20.190.145.160,54
1777715199.131384,20.190.145.160,1514
1777715199.1540737,20.190.145.160,1514
1777715199.1949387,20.190.145.160,1514
1777715199.2157886,20.190.145.160,1514
1777715199.2559586,20.190.145.160,1027
1777715201.403393,192.168.29.8,66
1777715204.9670577,104.208.16.88,66
1777715205.220889,104.208.16.88,1514
1777715205.254123,104.208.16.88,1514
1777715205.2739387,104.208.16.88,1514
1777715205.3169742,104.208.16.88,1514
1777715205.3398135,104.208.16.88,1514
1777715205.3746018,104.208.16.88,1260
1777715205.4337118,192.168.29.76,965
1777715205.494583,104.208.16.88,157
1777715205.554457,104.208.16.88,500
1777715206.0860121,13.204.106.34,66
1777715207.098568,13.32.251.71,66
1777715207.4937313,192.168.29.76,1092
1777715207.7440908,104.208.16.88,500
1777715208.436262,35.237.69.59,66
1777715208.5207267,35.237.69.59,66
1777715209.176445,192.168.29.76,1494
1777715209.1970098,192.168.29.76,1494
1777715209.217716,192.168.29.76,1494
1777715209.2368517,192.168.29.76,1494
1777715209.2632022,192.168.29.76,848
1777715209.340257,13.204.106.34,54
1777715209.398895,20.190.145.160,1514
1777715209.4216175,20.190.145.160,1514
1777715209.4445958,20.190.145.160,1514
1777715209.499595,20.190.145.160,1514
1777715209.5561893,20.190.145.160,1003
1777715210.7633846,192.168.29.8,66
1777715230.0571108,13.204.106.34,54
1777715240.8608372,72.145.35.106,54
1777715241.712333,54.221.64.218,78
1777715241.7320292,54.221.64.218,54
1777715242.3640628,192.168.29.76,1494
1777715242.382109,192.168.29.76,1494
1777715242.4018493,192.168.29.76,1494
1777715242.4215162,192.168.29.76,1494
1777715242.4397323,192.168.29.76,858
1777715242.4582279,20.190.145.160,54
1777715242.6108866,20.190.145.160,1514
1777715242.630546,20.190.145.160,1514
1777715242.6712754,20.190.145.160,1514
1777715242.6894526,20.190.145.160,1514
1777715242.7299645,20.190.145.160,1027
1777715248.781065,52.191.219.104,66
1777715248.9975595,52.191.219.104,1514
1777715249.0183442,52.191.219.104,1514
1777715249.0359974,52.191.219.104,892
1777715249.2138133,52.191.219.104,105
1777715249.2339516,52.191.219.104,123
1777715249.446033,52.191.219.104,92
1777715249.4652586,52.191.219.104,54
1777715249.7027194,52.191.219.104,378
1777715249.9141216,52.191.219.104,96
1777715249.9342575,52.191.219.104,54
1777715250.5301554,13.204.106.34,54
1777715251.1245997,13.204.106.34,66
1777715252.0966594,13.32.251.71,66
1777715253.7142322,35.237.69.59,66
1777715253.8200867,35.237.69.59,66
1777715271.0193095,13.204.106.34,54
1777715278.5557373,192.168.29.1,46
1777715286.18367,72.145.35.106,54
1777715291.4884672,13.204.106.34,54
1777715296.1534257,13.204.106.34,66
1777715297.1018004,13.32.251.71,66
1777715298.9856946,35.237.69.59,66
1777715299.1007385,35.237.69.59,66
1777715311.9787502,13.204.106.34,54
1777715332.4505503,13.204.106.34,54
1777715341.1911798,13.204.106.34,66
1777715342.1093578,13.32.251.71,66
1777715344.2654622,35.237.69.59,66
1777715344.379735,35.237.69.59,66
1777715352.9311626,13.204.106.34,54
1777715363.5562587,192.168.29.1,46
1777715367.3366,20.190.145.160,54
1777715373.408899,13.204.106.34,54
1777715386.2274792,13.204.106.34,66
1777715387.1209953,13.32.251.71,66
1777715389.5511174,35.237.69.59,66
1777715389.6587565,35.237.69.59,66
1777715393.8968687,13.204.106.34,54
1777715402.0129251,13.32.251.71,93
1777715402.0325935,13.32.251.71,54
1777715402.1037202,13.32.251.71,54
1777715414.3704522,13.204.106.34,54
1777715431.2695982,13.204.106.34,66
1777715434.8398259,35.237.69.59,66
1777715434.8771894,13.204.106.34,54
1777715434.9824924,35.237.69.59,66
1777715444.065823,192.168.29.1,46
1777715455.3298347,13.204.106.34,54
1777715475.813226,13.204.106.34,54
1777715476.2556474,3.223.138.246,66
1777715476.294168,192.168.29.76,571
1777715476.334812,13.204.106.34,66
1777715476.477155,3.223.138.246,54
1777715476.498112,3.223.138.246,1514
1777715476.5169592,3.223.138.246,2974
1777715476.5568743,3.223.138.246,553
1777715476.6144023,192.168.29.76,692
1777715476.6368256,192.168.29.76,923
1777715476.6977575,3.223.138.246,54
1777715476.7165952,3.223.138.246,233
1777715476.738363,3.223.138.246,54
1777715476.7567563,3.223.138.246,257
1777715480.1281037,35.237.69.59,66
1777715480.2405086,35.237.69.59,66
1777715496.2896779,13.204.106.34,54
1777715516.7711194,13.204.106.34,54
